KO,Importance,Class,name,description,pathway,brites,Share(+),Only_one(+),Neither(+),Share(-),Only_one(-),Neither(-)
ko:K00610,0.0022533,MLS,['pyrI'],aspartate carbamoyltransferase regulatory subunit,"{'ko00250': 'Alanine, aspartate and glutamate metabolism', 'ko00240': 'Pyrimidine metabolism', 'ko01100': 'Metabolic pathways'}","['KEGG Orthology (KO) [BR:ko00001]', '             Metabolism', '              Nucleotide metabolism', '               00240 Pyrimidine metabolism', '                K00610  pyrI; aspartate carbamoyltransferase regulatory subunit', '              Amino acid metabolism', '               00250 Alanine, aspartate and glutamate metabolism', '                K00610  pyrI; aspartate carbamoyltransferase regulatory subunit', '            KEGG modules [BR:ko00002]', '             Pathway module', '              Nucleotide and amino acid metabolism', '               Pyrimidine metabolism', '                M00051  Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP', '                 K00610  pyrI; aspartate carbamoyltransferase regulatory subunit']",78.33333333,13.33333333,8.333333333,58.77777778,29.22222222,12
ko:K04094,0.002242197,MLS,"['trmFO, gid']",methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase [EC:2.1.1.74],,"['Enzymes [BR:ko01000]', '             2. Transferases', '              2.1  Transferring one-carbon groups', '               2.1.1  Methyltransferases', '                2.1.1.74  methylenetetrahydrofolate---tRNA-(uracil54-C5)-methyltransferase (FADH2-oxidizing)', '                 K04094  trmFO, gid; methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase', '            Transfer RNA biogenesis [BR:ko03016]', '             Prokaryotic Type', '              tRNA modification factors', '               Methyltransferases', '                K04094  trmFO, gid; methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase', '            Chromosome [BR:ko03036]', '             Prokaryotic Type', '              Chromosome partitioning proteins', '               Other chromosome partitioning proteins', '                K04094  trmFO, gid; methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase']",4.444444444,14.66666667,80.88888889,8.555555556,25.33333333,66.11111111
ko:K10563,0.00213807,MLS,"['mutM, fpg']",formamidopyrimidine-DNA glycosylase [EC:3.2.2.23 4.2.99.18],{'ko03410': 'Base excision repair'},"['KEGG Orthology (KO) [BR:ko00001]', '             Genetic Information Processing', '              Replication and repair', '               03410 Base excision repair', '                K10563  mutM, fpg; formamidopyrimidine-DNA glycosylase', '            Enzymes [BR:ko01000]', '             3. Hydrolases', '              3.2  Glycosylases', '               3.2.2  Hydrolysing N-glycosyl compounds', '                3.2.2.23  DNA-formamidopyrimidine glycosylase', '                 K10563  mutM, fpg; formamidopyrimidine-DNA glycosylase', '             4. Lyases', '              4.2  Carbon-oxygen lyases', '               4.2.99  Other carbon-oxygen lyases', '                4.2.99.18  DNA-(apurinic or apyrimidinic site) lyase', '                 K10563  mutM, fpg; formamidopyrimidine-DNA glycosylase', '            DNA repair and recombination proteins [BR:ko03400]', '             Prokaryotic Type', '              SSBR (single strand breaks repair)', '               BER (base exicision repair)', '                DNA glycosylases', '                 K10563  mutM, fpg; formamidopyrimidine-DNA glycosylase']",8.111111111,23.22222222,68.66666667,10.66666667,34.11111111,55.22222222
ko:K03616,0.002062935,MLS,['rnfB'],electron transport complex protein RnfB,,,78.88888889,15.55555556,5.555555556,60.66666667,29.33333333,10
ko:K06910,0.001945948,MLS,['K06910'],uncharacterized protein,,,2.111111111,4.111111111,93.77777778,3.222222222,14.22222222,82.55555556
ko:K00243,0.001930343,MLS,['K00243'],uncharacterized protein,,,76,18.88888889,5.111111111,62.33333333,25.55555556,12.11111111
ko:K07343,0.001831363,MLS,['tfoX'],DNA transformation protein and related proteins,,,0.333333333,2.444444444,97.22222222,0.888888889,10.66666667,88.44444444
ko:K00876,0.001831017,MLS,"['udk, UCK']",uridine kinase [EC:2.7.1.48],"{'ko00240': 'Pyrimidine metabolism', 'ko00983': 'Drug metabolism - other enzymes', 'ko01100': 'Metabolic pathways'}","['KEGG Orthology (KO) [BR:ko00001]', '             Metabolism', '              Nucleotide metabolism', '               00240 Pyrimidine metabolism', '                K00876  udk, UCK; uridine kinase', '              Xenobiotics biodegradation and metabolism', '               00983 Drug metabolism - other enzymes', '                K00876  udk, UCK; uridine kinase', '            Enzymes [BR:ko01000]', '             2. Transferases', '              2.7  Transferring phosphorus-containing groups', '               2.7.1  Phosphotransferases with an alcohol group as acceptor', '                2.7.1.48  uridine kinase', '                 K00876  udk, UCK; uridine kinase']",88.88888889,8.777777778,2.333333333,74.33333333,18.88888889,6.777777778
ko:K01489,0.00178071,MLS,"['cdd, CDA']",cytidine deaminase [EC:3.5.4.5],"{'ko00240': 'Pyrimidine metabolism', 'ko00983': 'Drug metabolism - other enzymes', 'ko01100': 'Metabolic pathways'}","['KEGG Orthology (KO) [BR:ko00001]', '             Metabolism', '              Nucleotide metabolism', '               00240 Pyrimidine metabolism', '                K01489  cdd, CDA; cytidine deaminase', '              Xenobiotics biodegradation and metabolism', '               00983 Drug metabolism - other enzymes', '                K01489  cdd, CDA; cytidine deaminase', '            Enzymes [BR:ko01000]', '             3. Hydrolases', '              3.5  Acting on carbon-nitrogen bonds, other than peptide bonds', '               3.5.4  In cyclic amidines', '                3.5.4.5  cytidine deaminase', '                 K01489  cdd, CDA; cytidine deaminase']",86.11111111,11.66666667,2.222222222,74,19.44444444,6.555555556
ko:K01623,0.001773285,MLS,['ALDO'],"fructose-bisphosphate aldolase, class I [EC:4.1.2.13]","{'ko00051': 'Fructose and mannose metabolism', 'ko01130': 'Biosynthesis of antibiotics', 'ko00680': 'Methane metabolism', 'ko01200': 'Carbon metabolism', 'ko00010': 'Glycolysis / Gluconeogenesis', 'ko01100': 'Metabolic pathways', 'ko01230': 'Biosynthesis of amino acids', 'ko01120': 'Microbial metabolism in diverse environments', 'ko01110': 'Biosynthesis of secondary metabolites', 'ko00030': 'Pentose phosphate pathway', 'ko00710': 'Carbon fixation in photosynthetic organisms'}","['KEGG Orthology (KO) [BR:ko00001]', '             Metabolism', '              Carbohydrate metabolism', '               00010 Glycolysis / Gluconeogenesis', '                K01623  ALDO; fructose-bisphosphate aldolase, class I', '               00030 Pentose phosphate pathway', '                K01623  ALDO; fructose-bisphosphate aldolase, class I', '               00051 Fructose and mannose metabolism', '                K01623  ALDO; fructose-bisphosphate aldolase, class I', '              Energy metabolism', '               00710 Carbon fixation in photosynthetic organisms', '                K01623  ALDO; fructose-bisphosphate aldolase, class I', '               00680 Methane metabolism', '                K01623  ALDO; fructose-bisphosphate aldolase, class I', '            KEGG modules [BR:ko00002]', '             Pathway module', '              Energy metabolism', '               Carbon fixation', '                M00165  Reductive pentose phosphate cycle (Calvin cycle)', '                 K01623  ALDO; fructose-bisphosphate aldolase, class I', '                M00167  Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P', '                 K01623  ALDO; fructose-bisphosphate aldolase, class I', '              Carbohydrate and lipid metabolism', '               Central carbohydrate metabolism', '                M00001  Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate', '                 K01623  ALDO; fructose-bisphosphate aldolase, class I', '                M00003  Gluconeogenesis, oxaloacetate => fructose-6P', '                 K01623  ALDO; fructose-bisphosphate aldolase, class I', '            Enzymes [BR:ko01000]', '             4. Lyases', '              4.1  Carbon-carbon lyases', '               4.1.2  Aldehyde-lyases', '                4.1.2.13  fructose-bisphosphate aldolase', '                 K01623  ALDO; fructose-bisphosphate aldolase, class I', '            Membrane trafficking [BR:ko04131]', '             Autophagy', '              Chaperone mediated autophagy (CMA)', '               Selective cargos', '                K01623  ALDO; fructose-bisphosphate aldolase, class I', '            Chromosome [BR:ko03036]', '             Eukaryotic Type', '              Centrosome formation and ciliogenesis proteins', '               Other centriole associated proteins', '                K01623  ALDO; fructose-bisphosphate aldolase, class I', '            Exosome [BR:ko04147]', '             Exosomal proteins', '              Proteins found in most exosomes', '               K01623  ALDO; fructose-bisphosphate aldolase, class I']",0.444444444,1.888888889,97.66666667,1.666666667,10.55555556,87.77777778
ko:K01610,0.001729511,MLS,"['E4.1.1.49, pckA']",phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49],"{'ko01130': 'Biosynthesis of antibiotics', 'ko01200': 'Carbon metabolism', 'ko00010': 'Glycolysis / Gluconeogenesis', 'ko01100': 'Metabolic pathways', 'ko01120': 'Microbial metabolism in diverse environments', 'ko01110': 'Biosynthesis of secondary metabolites', 'ko00710': 'Carbon fixation in photosynthetic organisms', 'ko00620': 'Pyruvate metabolism', 'ko00020': 'Citrate cycle (TCA cycle)'}","['KEGG Orthology (KO) [BR:ko00001]', '             Metabolism', '              Carbohydrate metabolism', '               00010 Glycolysis / Gluconeogenesis', '                K01610  E4.1.1.49, pckA; phosphoenolpyruvate carboxykinase (ATP)', '               00020 Citrate cycle (TCA cycle)', '                K01610  E4.1.1.49, pckA; phosphoenolpyruvate carboxykinase (ATP)', '               00620 Pyruvate metabolism', '                K01610  E4.1.1.49, pckA; phosphoenolpyruvate carboxykinase (ATP)', '              Energy metabolism', '               00710 Carbon fixation in photosynthetic organisms', '                K01610  E4.1.1.49, pckA; phosphoenolpyruvate carboxykinase (ATP)', '            KEGG modules [BR:ko00002]', '             Pathway module', '              Energy metabolism', '               Carbon fixation', '                M00170  C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type', '                 K01610  E4.1.1.49, pckA; phosphoenolpyruvate carboxykinase (ATP)', '              Carbohydrate and lipid metabolism', '               Central carbohydrate metabolism', '                M00003  Gluconeogenesis, oxaloacetate => fructose-6P', '                 K01610  E4.1.1.49, pckA; phosphoenolpyruvate carboxykinase (ATP)', '            Enzymes [BR:ko01000]', '             4. Lyases', '              4.1  Carbon-carbon lyases', '               4.1.1  Carboxy-lyases', '                4.1.1.49  phosphoenolpyruvate carboxykinase (ATP)', '                 K01610  E4.1.1.49, pckA; phosphoenolpyruvate carboxykinase (ATP)']",85.11111111,9.555555556,5.333333333,70.11111111,23.44444444,6.444444444
ko:K01267,0.001663485,MLS,['DNPEP'],aspartyl aminopeptidase [EC:3.4.11.21],,"['Enzymes [BR:ko01000]', '             3. Hydrolases', '              3.4  Acting on peptide bonds (peptidases)', '               3.4.11  Aminopeptidases', '                3.4.11.21  aspartyl aminopeptidase', '                 K01267  DNPEP; aspartyl aminopeptidase', '            Peptidases [BR:ko01002]', '             Metallo Peptidases', '              Family M18', '               K01267  DNPEP; aspartyl aminopeptidase', '            Membrane trafficking [BR:ko04131]', '             Autophagy', '              Cytoplasm to vacuolar targeting (CVT) pathway', '               Selective cargos', '                K01267  DNPEP; aspartyl aminopeptidase']",58.33333333,13.55555556,28.11111111,38.55555556,23.66666667,37.77777778
ko:K03615,0.001661626,MLS,['rnfC'],electron transport complex protein RnfC,,,80.33333333,14.33333333,5.333333333,66,24.11111111,9.888888889
ko:K06213,0.001650715,MLS,['mgtE'],magnesium transporter,,"['Transporters [BR:ko02000]', '             Other Transporters', '              Pores ion channels', '               K06213  mgtE; magnesium transporter']",74.66666667,20.88888889,4.444444444,56,32.88888889,11.11111111
ko:K03308,0.001633423,MLS,['TC.NSS'],"neurotransmitter:Na+ symporter, NSS family",,,83.88888889,13.44444444,2.666666667,71.66666667,21.33333333,7
ko:K03570,0.001607134,MLS,['mreC'],rod shape-determining protein MreC,,"['Chromosome [BR:ko03036]', '             Prokaryotic Type', '              Chromosome partitioning proteins', '               Other chromosome partitioning proteins', '                K03570  mreC; rod shape-determining protein MreC']",85.11111111,11.88888889,3,71.88888889,24.22222222,3.888888889
ko:K06196,0.001596724,MLS,['ccdA'],cytochrome c-type biogenesis protein,,"['Transporters [BR:ko02000]', '             Other Transporters', '              Transmembrane electron carriers', '               K06196  ccdA; cytochrome c-type biogenesis protein']",2.888888889,11.55555556,85.55555556,4.666666667,22.55555556,72.77777778
ko:K03617,0.001591696,MLS,['rnfA'],electron transport complex protein RnfA,,,80.44444444,14.33333333,5.222222222,67.11111111,23.55555556,9.333333333
ko:K18707,0.001556205,MLS,['mtaB'],threonylcarbamoyladenosine tRNA methylthiotransferase MtaB [EC:2.8.4.5],,"['Enzymes [BR:ko01000]', '             2. Transferases', '              2.8  Transferring sulfur-containing groups', '               2.8.4  Transferring alkylthio groups', '                2.8.4.5  tRNA (N6-L-threonylcarbamoyladenosine37-C2)-methylthiotransferase', '                 K18707  mtaB; threonylcarbamoyladenosine tRNA methylthiotransferase MtaB', '            Transfer RNA biogenesis [BR:ko03016]', '             Prokaryotic Type', '              tRNA modification factors', '               Methylthiotransferases', '                K18707  mtaB; threonylcarbamoyladenosine tRNA methylthiotransferase MtaB']",93.44444444,3.555555556,3,81.11111111,14.55555556,4.333333333
ko:K16511,0.001498184,MLS,['mecA1_2'],adapter protein MecA 1/2,,,48.11111111,17,34.88888889,32.33333333,22.66666667,45
ko:K00872,0.001485919,MLS,['thrB1'],homoserine kinase [EC:2.7.1.39],"{'ko00260': 'Glycine, serine and threonine metabolism', 'ko01230': 'Biosynthesis of amino acids', 'ko01120': 'Microbial metabolism in diverse environments', 'ko01100': 'Metabolic pathways', 'ko01110': 'Biosynthesis of secondary metabolites'}","['KEGG Orthology (KO) [BR:ko00001]', '             Metabolism', '              Amino acid metabolism', '               00260 Glycine, serine and threonine metabolism', '                K00872  thrB1; homoserine kinase', '            KEGG modules [BR:ko00002]', '             Pathway module', '              Nucleotide and amino acid metabolism', '               Serine and threonine metabolism', '                M00018  Threonine biosynthesis, aspartate => homoserine => threonine', '                 K00872  thrB1; homoserine kinase', '            Enzymes [BR:ko01000]', '             2. Transferases', '              2.7  Transferring phosphorus-containing groups', '               2.7.1  Phosphotransferases with an alcohol group as acceptor', '                2.7.1.39  homoserine kinase', '                 K00872  thrB1; homoserine kinase']",5.444444444,14.22222222,80.33333333,5.888888889,26.44444444,67.66666667
ko:K01496,0.001477855,MLS,['hisI'],phosphoribosyl-AMP cyclohydrolase [EC:3.5.4.19],"{'ko01230': 'Biosynthesis of amino acids', 'ko00340': 'Histidine metabolism', 'ko01100': 'Metabolic pathways', 'ko01110': 'Biosynthesis of secondary metabolites'}","['KEGG Orthology (KO) [BR:ko00001]', '             Metabolism', '              Amino acid metabolism', '               00340 Histidine metabolism', '                K01496  hisI; phosphoribosyl-AMP cyclohydrolase', '            KEGG modules [BR:ko00002]', '             Pathway module', '              Nucleotide and amino acid metabolism', '               Histidine metabolism', '                M00026  Histidine biosynthesis, PRPP => histidine', '                 K01496  hisI; phosphoribosyl-AMP cyclohydrolase', '            Enzymes [BR:ko01000]', '             3. Hydrolases', '              3.5  Acting on carbon-nitrogen bonds, other than peptide bonds', '               3.5.4  In cyclic amidines', '                3.5.4.19  phosphoribosyl-AMP cyclohydrolase', '                 K01496  hisI; phosphoribosyl-AMP cyclohydrolase']",1.222222222,9.888888889,88.88888889,6.222222222,17.66666667,76.11111111
ko:K07720,0.001425475,MLS,['yesN'],"two-component system, response regulator YesN",{'ko02020': 'Two-component system'},"['KEGG Orthology (KO) [BR:ko00001]', '             Environmental Information Processing', '              Signal transduction', '               02020 Two-component system', '                K07720  yesN; two-component system, response regulator YesN', '            KEGG modules [BR:ko00002]', '             Functional set', '              Environmental information processing', '               Two-component regulatory system', '                M00519  YesM-YesN two-component regulatory system', '                 K07720  yesN; two-component system, response regulator YesN', '            Two-component system [BR:ko02022]', '             Other families', '              YesM-YesN', '               K07720  yesN; two-component system, response regulator YesN']",44.33333333,18,37.66666667,28,28.55555556,43.44444444
ko:K01494,0.001425154,MLS,['dcd'],dCTP deaminase [EC:3.5.4.13],"{'ko00240': 'Pyrimidine metabolism', 'ko01100': 'Metabolic pathways'}","['KEGG Orthology (KO) [BR:ko00001]', '             Metabolism', '              Nucleotide metabolism', '               00240 Pyrimidine metabolism', '                K01494  dcd; dCTP deaminase', '            KEGG modules [BR:ko00002]', '             Pathway module', '              Nucleotide and amino acid metabolism', '               Pyrimidine metabolism', '                M00053  Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP', '                 K01494  dcd; dCTP deaminase', '            Enzymes [BR:ko01000]', '             3. Hydrolases', '              3.5  Acting on carbon-nitrogen bonds, other than peptide bonds', '               3.5.4  In cyclic amidines', '                3.5.4.13  dCTP deaminase', '                 K01494  dcd; dCTP deaminase']",2.111111111,4.222222222,93.66666667,4.666666667,16.44444444,78.88888889
ko:K06973,0.001404239,MLS,['K06973'],uncharacterized protein,,,83.11111111,12.33333333,4.555555556,61.66666667,28.22222222,10.11111111
ko:K12257,0.001367544,MLS,['secDF'],SecD/SecF fusion protein,"{'ko02024': 'Quorum sensing', 'ko03070': 'Bacterial secretion system', 'ko03060': 'Protein export'}","['KEGG Orthology (KO) [BR:ko00001]', '             Genetic Information Processing', '              Folding, sorting and degradation', '               03060 Protein export', '                K12257  secDF; SecD/SecF fusion protein', '             Environmental Information Processing', '              Membrane transport', '               03070 Bacterial secretion system', '                K12257  secDF; SecD/SecF fusion protein', '             Cellular Processes', '              Cellular community - prokaryotes', '               02024 Quorum sensing', '                K12257  secDF; SecD/SecF fusion protein', '            KEGG modules [BR:ko00002]', '             Structural complex', '              Environmental information processing', '               Bacterial secretion system', '                M00335  Sec (secretion) system', '                 K12257  secDF; SecD/SecF fusion protein', '            Secretion system [BR:ko02044]', '             Sec (secretion) system', '              Prokaryotic Sec-SRP core components', '               K12257  secDF; SecD/SecF fusion protein']",74.66666667,16.44444444,8.888888889,60.77777778,27,12.22222222
ko:K00525,0.00136564,MLS,"['E1.17.4.1A, nrdA, nrdE']",ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1],"{'ko00240': 'Pyrimidine metabolism', 'ko01100': 'Metabolic pathways', 'ko00230': 'Purine metabolism'}","['KEGG Orthology (KO) [BR:ko00001]', '             Metabolism', '              Nucleotide metabolism', '               00230 Purine metabolism', '                K00525  E1.17.4.1A, nrdA, nrdE; ribonucleoside-diphosphate reductase alpha chain', '               00240 Pyrimidine metabolism', '                K00525  E1.17.4.1A, nrdA, nrdE; ribonucleoside-diphosphate reductase alpha chain', '            KEGG modules [BR:ko00002]', '             Pathway module', '              Nucleotide and amino acid metabolism', '               Pyrimidine metabolism', '                M00053  Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP', '                 K00525  E1.17.4.1A, nrdA, nrdE; ribonucleoside-diphosphate reductase alpha chain', '            Enzymes [BR:ko01000]', '             1. Oxidoreductases', '              1.17  Acting on CH or CH2 groups', '               1.17.4  With a disulfide as acceptor', '                1.17.4.1  ribonucleoside-diphosphate reductase', '                 K00525  E1.17.4.1A, nrdA, nrdE; ribonucleoside-diphosphate reductase alpha chain', '            DNA repair and recombination proteins [BR:ko03400]', '             Prokaryotic Type', '              Other factors with a suspected DNA repair function', '               Modulation of nucleotide pools', '                K00525  E1.17.4.1A, nrdA, nrdE; ribonucleoside-diphosphate reductase alpha chain']",34.22222222,24,41.77777778,44.88888889,28.66666667,26.44444444
ko:K03724,0.00135074,MLS,['lhr'],ATP-dependent helicase Lhr and Lhr-like helicase [EC:3.6.4.-],,"['Enzymes [BR:ko01000]', '             3. Hydrolases', '              3.6  Acting on acid anhydrides', '               3.6.4  Acting on acid anhydrides to facilitate cellular and subcellular movement', '                3.6.4.-  ', '                 K03724  lhr; ATP-dependent helicase Lhr and Lhr-like helicase', '            DNA repair and recombination proteins [BR:ko03400]', '             Prokaryotic Type', '              Other factors with a suspected DNA repair function', '               DNA helicases', '                K03724  lhr; ATP-dependent helicase Lhr and Lhr-like helicase']",1.555555556,8.555555556,89.88888889,2.888888889,13.44444444,83.66666667
ko:K05791,0.001334484,MLS,['terZ'],tellurium resistance protein TerZ,,,0.111111111,2,97.88888889,0.222222222,3.111111111,96.66666667
ko:K06200,0.001309913,MLS,['cstA'],carbon starvation protein,,,45.88888889,22.88888889,31.22222222,25.77777778,30.33333333,43.88888889
ko:K05601,0.001299186,MLS,['hcp'],hydroxylamine reductase [EC:1.7.99.1],{'ko00910': 'Nitrogen metabolism'},"['KEGG Orthology (KO) [BR:ko00001]', '             Metabolism', '              Energy metabolism', '               00910 Nitrogen metabolism', '                K05601  hcp; hydroxylamine reductase', '            Enzymes [BR:ko01000]', '             1. Oxidoreductases', '              1.7  Acting on other nitrogenous compounds as donors', '               1.7.99  With unknown physiological acceptors', '                1.7.99.1  hydroxylamine reductase', '                 K05601  hcp; hydroxylamine reductase']",64.11111111,27.44444444,8.444444444,48.88888889,36.77777778,14.33333333
ko:K09117,0.001259931,MLS,['K09117'],uncharacterized protein,,,74.66666667,21.11111111,4.222222222,58.22222222,32.33333333,9.444444444
ko:K05985,0.001250129,MLS,['rnmV'],ribonuclease M5 [EC:3.1.26.8],,"['Enzymes [BR:ko01000]', '             3. Hydrolases', '              3.1  Acting on ester bonds', ""               3.1.26  Endoribonucleases producing 5'-phosphomonoesters"", '                3.1.26.8  ribonuclease M5', '                 K05985  rnmV; ribonuclease M5']",4.555555556,7.333333333,88.11111111,5.888888889,20.11111111,74
ko:K01886,0.001238616,MLS,"['QARS, glnS']",glutaminyl-tRNA synthetase [EC:6.1.1.18],"{'ko00970': 'Aminoacyl-tRNA biosynthesis', 'ko01100': 'Metabolic pathways'}","['KEGG Orthology (KO) [BR:ko00001]', '             Genetic Information Processing', '              Translation', '               00970 Aminoacyl-tRNA biosynthesis', '                K01886  QARS, glnS; glutaminyl-tRNA synthetase', '            KEGG modules [BR:ko00002]', '             Functional set', '              Metabolism', '               Aminoacyl tRNA', '                M00360  Aminoacyl-tRNA biosynthesis, prokaryotes', '                 K01886  QARS, glnS; glutaminyl-tRNA synthetase', '                M00359  Aminoacyl-tRNA biosynthesis, eukaryotes', '                 K01886  QARS, glnS; glutaminyl-tRNA synthetase', '            Enzymes [BR:ko01000]', '             6. Ligases', '              6.1  Forming carbon-oxygen bonds', '               6.1.1  Ligases forming aminoacyl-tRNA and related compounds', '                6.1.1.18  glutamine---tRNA ligase', '                 K01886  QARS, glnS; glutaminyl-tRNA synthetase', '            Amino acid related enzymes [BR:ko01007]', '             Aminoacyl-tRNA synthetase', '              Class I (A)', '               K01886  QARS, glnS; glutaminyl-tRNA synthetase', '            Transfer RNA biogenesis [BR:ko03016]', '             Eukaryotic Type', '              Aminoacyl-tRNA synthetases (AARSs)', '               Multi-aminoacyl-tRNA synthetase complex (MSC)', '                K01886  QARS, glnS; glutaminyl-tRNA synthetase', '             Prokaryotic Type', '              Aminoacyl-tRNA synthetases (AARSs)', '               Other AARSs', '                K01886  QARS, glnS; glutaminyl-tRNA synthetase']",85.11111111,9.888888889,5,71.88888889,20.66666667,7.444444444
ko:K05878,0.001235356,MLS,['dhaK'],phosphoenolpyruvate---glycerone phosphotransferase subunit DhaK [EC:2.7.1.121],"{'ko00561': 'Glycerolipid metabolism', 'ko01100': 'Metabolic pathways'}","['KEGG Orthology (KO) [BR:ko00001]', '             Metabolism', '              Lipid metabolism', '               00561 Glycerolipid metabolism', '                K05878  dhaK; phosphoenolpyruvate---glycerone phosphotransferase subunit DhaK', '            Enzymes [BR:ko01000]', '             2. Transferases', '              2.7  Transferring phosphorus-containing groups', '               2.7.1  Phosphotransferases with an alcohol group as acceptor', '                2.7.1.121  phosphoenolpyruvate---glycerone phosphotransferase', '                 K05878  dhaK; phosphoenolpyruvate---glycerone phosphotransferase subunit DhaK']",2,24.33333333,73.66666667,4.888888889,35.77777778,59.33333333
ko:K05795,0.00123264,MLS,['terD'],tellurium resistance protein TerD,,,1.888888889,25.88888889,72.22222222,2.555555556,20.66666667,76.77777778
ko:K09936,0.001227092,MLS,['TC.BAT2'],bacterial/archaeal transporter family-2 protein,{'ko02024': 'Quorum sensing'},"['KEGG Orthology (KO) [BR:ko00001]', '             Cellular Processes', '              Cellular community - prokaryotes', '               02024 Quorum sensing', '                K09936  TC.BAT2; bacterial/archaeal transporter family-2 protein', '            Transporters [BR:ko02000]', '             Other Transporters', '              Electrochemical potential-driven transporters', '               K09936  TC.BAT2; bacterial/archaeal transporter family-2 protein']",37.88888889,26.88888889,35.22222222,23.77777778,29.22222222,47
ko:K01778,0.001182933,MLS,['dapF'],diaminopimelate epimerase [EC:5.1.1.7],"{'ko01230': 'Biosynthesis of amino acids', 'ko01120': 'Microbial metabolism in diverse environments', 'ko00300': 'Lysine biosynthesis', 'ko01110': 'Biosynthesis of secondary metabolites', 'ko01130': 'Biosynthesis of antibiotics', 'ko01100': 'Metabolic pathways'}","['KEGG Orthology (KO) [BR:ko00001]', '             Metabolism', '              Amino acid metabolism', '               00300 Lysine biosynthesis', '                K01778  dapF; diaminopimelate epimerase', '            KEGG modules [BR:ko00002]', '             Pathway module', '              Nucleotide and amino acid metabolism', '               Lysine metabolism', '                M00016  Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine', '                 K01778  dapF; diaminopimelate epimerase', '                M00525  Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine', '                 K01778  dapF; diaminopimelate epimerase', '                M00527  Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine', '                 K01778  dapF; diaminopimelate epimerase', '            Enzymes [BR:ko01000]', '             5. Isomerases', '              5.1  Racemases and epimerases', '               5.1.1  Acting on amino acids and derivatives', '                5.1.1.7  diaminopimelate epimerase', '                 K01778  dapF; diaminopimelate epimerase']",79.77777778,17,3.222222222,65.88888889,29.33333333,4.777777778
ko:K03826,0.001160069,MLS,['yiaC'],putative acetyltransferase [EC:2.3.1.-],,"['Enzymes [BR:ko01000]', '             2. Transferases', '              2.3  Acyltransferases', '               2.3.1  Transferring groups other than aminoacyl groups', '                2.3.1.-  ', '                 K03826  yiaC; putative acetyltransferase']",34.33333333,23.88888889,41.77777778,19.11111111,30.11111111,50.77777778
ko:K05306,0.001150218,MLS,['phnX'],phosphonoacetaldehyde hydrolase [EC:3.11.1.1],"{'ko00440': 'Phosphonate and phosphinate metabolism', 'ko01120': 'Microbial metabolism in diverse environments', 'ko01100': 'Metabolic pathways'}","['KEGG Orthology (KO) [BR:ko00001]', '             Metabolism', '              Metabolism of other amino acids', '               00440 Phosphonate and phosphinate metabolism', '                K05306  phnX; phosphonoacetaldehyde hydrolase', '            Enzymes [BR:ko01000]', '             3. Hydrolases', '              3.11  Acting on carbon-phosphorus bonds', '               3.11.1  Acting on carbon-phosphorus bonds (only sub-subclass identified to date)', '                3.11.1.1  phosphonoacetaldehyde hydrolase', '                 K05306  phnX; phosphonoacetaldehyde hydrolase']",8,18.55555556,73.44444444,7.444444444,27.88888889,64.66666667
ko:K03386,0.001147635,MLS,"['PRDX2_4, ahpC']",peroxiredoxin (alkyl hydroperoxide reductase subunit C) [EC:1.11.1.15],{'ko04214': 'Apoptosis - fly'},"['KEGG Orthology (KO) [BR:ko00001]', '             Cellular Processes', '              Cell growth and death', '               04214 Apoptosis - fly', '                K03386  PRDX2_4, ahpC; peroxiredoxin (alkyl hydroperoxide reductase subunit C)', '            Enzymes [BR:ko01000]', '             1. Oxidoreductases', '              1.11  Acting on a peroxide as acceptor', '               1.11.1  Peroxidases', '                1.11.1.15  peroxiredoxin', '                 K03386  PRDX2_4, ahpC; peroxiredoxin (alkyl hydroperoxide reductase subunit C)', '            Exosome [BR:ko04147]', '             Exosomal proteins', '              Proteins found in most exosomes', '               K03386  PRDX2_4, ahpC; peroxiredoxin (alkyl hydroperoxide reductase subunit C)']",25.66666667,19.33333333,55,32.33333333,29,38.66666667
